id,deleted,type,subtype,activity
516,N,HEALTH AND SOCIAL WORK,HEALTH AND SOCIAL WORK,"PRIVATE MEDICAL, DENTAL, OTHER HEALTH SERVICES"
517,N,HEALTH AND SOCIAL WORK,HEALTH AND SOCIAL WORK,"OTHER HOSPITAL ACTIVITIES, MEDICAL, DENTAL PRACTICES"
518,N,HEALTH AND SOCIAL WORK,HEALTH AND SOCIAL WORK,VETERINARY ACTIVITIES
519,N,HEALTH AND SOCIAL WORK,HEALTH AND SOCIAL WORK,SOCIAL WORK WITH ACCOMMODATION
520,N,HEALTH AND SOCIAL WORK,HEALTH AND SOCIAL WORK,SOCIAL WORK WITHOUT ACCOMMODATION O. OTHER COMMUNITY SOCIAL AND PERSONAL SERVICE ACTIVITIES
521,N,"SEWAGE & REFUSE DISPOSAL, SANITATION & SIMILAR ACTIVITIES","SEWAGE & REFUSE DISPOSAL, SANITATION & SIMILAR ACTIVITIES","WASTE COLLECTION, DISPOSAL ON A FEE/CONTRACTUAL BASIS"
522,N,"SEWAGE & REFUSE DISPOSAL, SANITATION & SIMILAR ACTIVITIES","SEWAGE & REFUSE DISPOSAL, SANITATION & SIMILAR ACTIVITIES",SANITARY AND SIMILAR SERVICES N.E.C
523,N,"ACTIVITIES OF MEMBERSHIP ORGANIZATIONS, N.E.C.","ACTIVITIES OF MEMBERSHIP ORGANIZATIONS, N.E.C.","ACTIVITIES OF BUSINESS, EMPLOYERS ORGANIZATIONS"
524,N,"ACTIVITIES OF MEMBERSHIP ORGANIZATIONS, N.E.C.","ACTIVITIES OF MEMBERSHIP ORGANIZATIONS, N.E.C.",ACTIVITIES OF PROFESSIONAL ORGANIZATIONS
525,N,"ACTIVITIES OF MEMBERSHIP ORGANIZATIONS, N.E.C.","ACTIVITIES OF MEMBERSHIP ORGANIZATIONS, N.E.C.",ACTIVITIES OF TRADE UNIONS
526,N,"ACTIVITIES OF MEMBERSHIP ORGANIZATIONS, N.E.C.","ACTIVITIES OF MEMBERSHIP ORGANIZATIONS, N.E.C.",ACTIVITIES OF RELIGIOUS ORGANIZATIONS
527,N,"ACTIVITIES OF MEMBERSHIP ORGANIZATIONS, N.E.C.","ACTIVITIES OF MEMBERSHIP ORGANIZATIONS, N.E.C.",ACTIVITIES OF POLITICAL ORGANIZATIONS
528,N,"ACTIVITIES OF MEMBERSHIP ORGANIZATIONS, N.E.C.","ACTIVITIES OF MEMBERSHIP ORGANIZATIONS, N.E.C.","ACTIVITIES OF OTHER MEMBERSHIP ORGANIZATIONS, N.E.C"
529,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","MOTION PICTURE, VIDEO PRODUCTION, DISTRIBUTION"
530,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES",MOTION PICTURE PROJECTION
531,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RADIO, TELEVISION ACTIVITIES"
532,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","DRAMATIC ARTS, MUSIC, OTHER ARTS ACTIVITIES"
533,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","OTHER ENTERTAINMENT ACTIVITIES, DANCE INSTRUCTION"
534,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES",NEWS AGENCY ACTIVITIES
535,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES",LIBRARY AND ARCHIVES ACTIVITIES
536,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","MUSEUM ACTIVITIES, PRESERVATION OF HISTORICAL SITES"
537,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","BOTANICAL, ZOOLOGICAL GARDENS, NATURE RESERVES ACTIVITIES"
538,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES",ART GALLERIES
539,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","OTHER CULTURAL ACTIVITIES, N.E.C"
540,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES",SPORTING ACTIVITIES
541,N,"RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES","RECREATIONAL, CULTURAL, AND SPORTING ACTIVITIES",OTHER RECREATIONAL ACTIVITIES
542,N,OTHER SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES,WASHING AND (DRY-) CLEANING OF CLOTHING AND TEXTILE
543,N,OTHER SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES,HAIRDRESSING AND OTHER BEAUTY TREATMENT
544,N,OTHER SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES,FUNERAL AND RELATED ACTIVITIES
545,N,OTHER SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES,"OTHER SERVICE ACTIVITIES, N.E.C P. PRIVATE HOUSEHOLD WITH EMPLOYED PERSONS"
546,N,PRIVATE HOUSEHOLD WITH EMPLOYED PERSONS,PRIVATE HOUSEHOLD WITH EMPLOYED PERSONS,PRIVATE HOUSEHOLD WITH EMPLOYED PERSONS Q. EXTRA-TERRITORIAL ORGANIZATIONS & BODIES 99 EXTRA-TERRITORIAL ORGANIZATIONS & BODIES
547,N,PRIVATE HOUSEHOLD WITH EMPLOYED PERSONS,PRIVATE HOUSEHOLD WITH EMPLOYED PERSONS,EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES
